scenario_id,method,plant,mechanism,sg_tension,period_s,condition,registered_domain,evaluation_status,capability_change_time_s,physical_success,fallback_calls,surplus_active_calls,controller_calls,excited_calls,excitation_fraction,request_span_pu,maximum_request_pu,reconstruction_scope
R5-V-A-053,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,OOD,SUSTAINABLE,EVALUATED,100.67102141009731,True,0,0,76,0,0.0,0.03487150589151945,0.034818229711750116,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-054,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,OOD,BRIDGE,EVALUATED,116.41998519184354,False,0,0,76,50,0.6578947368421053,0.0501784045815177,0.05011012692064033,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-055,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,126.46683845582562,False,0,0,76,0,0.0,0.033550851499802664,0.033550851499802664,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-056,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,108.35945785335498,False,0,0,76,37,0.4868421052631579,0.04559456254331325,0.04559456254331325,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-057,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,133.57793017123984,False,0,0,75,35,0.4666666666666667,0.10589979425218897,0.1058251955439114,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-058,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,OOD,SUSTAINABLE,EVALUATED,119.3515905044853,True,0,0,76,32,0.42105263157894735,0.04502712930548788,0.04502712930548788,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-059,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,OOD,SUSTAINABLE,EVALUATED,131.8916311703456,True,0,0,76,0,0.0,0.03496788432803118,0.03488763268379197,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-060,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,high,2.0,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,117.33578593549679,False,4,0,150,100,0.6666666666666666,0.1480508038282001,0.14797013156473104,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-061,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,high,2.0,known,SUSTAINABLE,EVALUATED,126.01943226821848,True,0,0,151,0,0.0,0.029352785382388506,0.029120136233949396,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-062,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,high,2.0,OOD,SUSTAINABLE,EVALUATED,130.27740205314194,True,0,0,151,43,0.2847682119205298,0.04500781596669332,0.04500781596669332,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
