scenario_id,plant,mechanism,sg_tension,period_s,condition,evaluation_status,fallback_calls,surplus_active_calls,excitation_fraction,frequency_peak_hz__contract_only_rolling_mpc,frequency_peak_hz__dcsv_cr_mpc,ace_iae_pu_s__contract_only_rolling_mpc,ace_iae_pu_s__dcsv_cr_mpc,tie_rms_pu__contract_only_rolling_mpc,tie_rms_pu__dcsv_cr_mpc,physical_success__contract_only_rolling_mpc,physical_success__dcsv_cr_mpc,attribution,contract_minus_dcsv__frequency_peak_hz,contract_minus_dcsv__ace_iae_pu_s,contract_minus_dcsv__tie_rms_pu
R5-V-A-071,A_full_nonlinear,ramp_drop,high,4.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.0,0.7478287930554532,0.7479088829406035,26.05717157172795,26.240409386478923,0.03323012701191649,0.03380899497703171,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,-8.00898851502918e-05,-0.18323781475097434,-0.0005788679651152207
R5-V-A-072,A_full_nonlinear,ramp_drop,high,4.0,OOD,EVALUATED,0,0,0.0,0.22494989568676163,0.2249442470603446,1.1034410192823576,1.0961964672990396,0.0034934317979887657,0.0035158973354955654,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,5.648626417026348e-06,0.007244551983317971,-2.2465537506799645e-05
R5-V-A-073,A_full_nonlinear,ramp_drop,high,4.0,OOD,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.6,1.0895300955982914,1.0707460943638503,35.924440812917545,35.48886157129886,0.009659980291904395,0.010045337538804655,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,0.018784001234441128,0.435579241618683,-0.00038535724690026
R5-V-A-074,A_full_nonlinear,ramp_drop,high,4.0,known,EVALUATED,0,0,0.0,0.662436879585618,0.661267859746485,4.117740342160641,3.829457880117484,0.009162917334412749,0.010034609852879033,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.0011690198391329787,0.2882824620431568,-0.0008716925184662841
R5-V-A-075,A_full_nonlinear,ramp_drop,high,4.0,known,EVALUATED,0,0,0.0,0.6870525147964628,0.6828196517237894,4.179974938479262,3.8909407383031684,0.009564544805222609,0.009312184956381975,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.004232863072673343,0.2890342001760935,0.0002523598488406338
R5-V-A-076,A_full_nonlinear,ramp_drop,high,4.0,OOD,EVALUATED,0,0,0.0,0.22682995095441033,0.21738123638176424,1.024746730073403,1.0225855520592941,0.0029779732684100143,0.0031281259856878233,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.009448714572646094,0.0021611780141088666,-0.00015015271727780895
R5-V-A-077,A_full_nonlinear,ramp_drop,high,4.0,OOD,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.5394736842105263,0.6861044763802985,0.6840210230922832,22.453178588754792,22.912132037325822,0.02982462733135729,0.030539800853606983,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,0.002083453288015291,-0.45895344857103026,-0.0007151735222496909
R5-V-A-078,A_full_nonlinear,ramp_drop,high,4.0,known,EVALUATED,0,0,0.0,0.3179694403407964,0.3177101959560627,1.708739345818455,1.6381107073984578,0.0009488080253159616,0.0011101470712527564,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.00025924438473368117,0.07062863841999723,-0.00016133904593679488
R5-V-A-079,A_full_nonlinear,ramp_drop,high,4.0,known,EVALUATED,0,0,0.0,0.23281228104563562,0.23281019654748664,1.12479357493081,1.1045914506688794,0.0037519336149405584,0.003684479732115003,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,2.0844981489798187e-06,0.020202124261930576,6.745388282555559e-05
R5-V-A-080,A_full_nonlinear,delay_increase,low,2.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.37333333333333335,1.7581298213327445,1.7941847575496928,109.71583043736847,135.08004309116504,0.20787214205091661,0.24745862376449562,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,-0.03605493621694822,-25.36421265379657,-0.03958648171357901
